Beat,District,Community Area,Homicide Count
823,8,65,5
722,7,69,5
1214,12,24,5
1123,11,23,5
1022,10,30,5
2032,20,3,5
532,5,54,5
2213,22,72,5
734,7,,5
2233,22,73,5
1614,16,76,5
331,3,42,5
1034,10,,5
931,9,,5
1233,12,,5
732,7,69,5
1411,14,22,5
713,7,,5
2511,25,19,5
331,3,,5
833,8,70,5
1623,16,15,4
133,1,33,4
1913,19,7,4
111,1,28,4
321,3,43,4
1925,19,6,4
2233,22,,4
2112,1,35,4
925,9,34,4
934,9,,4
1731,17,15,4
413,4,51,4
321,3,69,4
2221,22,72,4
513,5,,4
221,2,,4
1113,11,,4
1313,12,23,4
1214,12,28,4
2533,25,23,4
912,9,,4
1611,16,10,4
1313,12,24,4
1012,10,,4
111,1,32,4
414,4,45,4
1814,18,7,4
1123,11,,4
1013,10,,4
921,9,,4
1532,15,,4
433,4,52,4
621,6,,4
1023,10,28,4
1935,19,7,4
1613,16,10,4
522,5,,3
1122,11,,3
1223,12,,3
1933,19,7,3
333,3,,3
915,9,63,3
933,9,,3
421,4,,3
2535,25,20,3
614,6,,3
1125,11,,3
233,2,,3
2113,1,,3
1533,15,,3
1312,12,24,3
112,1,32,3
1912,19,3,3
611,6,,3
1933,19,6,3
423,4,,3
1211,12,23,3
1911,19,5,3
312,3,,3
914,9,60,3
722,7,,3
1231,12,,3
533,5,,3
1912,19,5,3
2512,25,25,3
2324,19,6,3
1722,17,14,3
1024,10,,3
1921,19,5,3
1611,16,9,3
1811,18,7,3
431,4,,3
2211,22,74,3
512,5,,3
411,4,,3
2233,22,75,3
2111,9,34,3
233,2,41,3
2031,20,4,3
1131,11,,3
814,8,,3
1421,14,,3
831,8,,3
331,3,41,3
412,4,,3
2222,22,,3
1633,16,17,3
2123,2,36,3
913,9,,3
733,7,,3
1411,14,,2
2333,19,7,2
1023,10,31,2
1324,12,,2
222,2,,2
1421,14,23,2
434,4,55,2
1822,18,,2
531,5,,2
311,3,68,2
1513,15,,2
1132,11,,2
1621,16,12,2
1111,11,,2
1121,11,,2
1511,15,,2
134,1,,2
411,4,46,2
311,3,69,2
822,8,,2
1023,14,,2
332,3,,2
223,2,39,2
1011,10,,2
2322,19,3,2
132,1,32,2
334,3,,2
131,1,32,2
1934,19,6,2
2132,2,41,2
931,9,63,2
225,2,68,2
1931,19,5,2
631,6,,2
915,9,,2
2411,24,,2
731,7,,2
725,7,,2
1523,15,,2
822,8,65,2
634,6,,2
2124,2,,2
1654,16,76,2
833,8,64,2
1332,12,,2
211,2,,2
2232,22,,2
532,5,,2
1021,10,,2
1022,10,,2
723,7,,2
1413,14,,2
1833,18,8,2
2234,22,,2
231,2,,2
823,8,,2
735,7,,2
711,7,,2
1224,12,,2
1422,14,,2
832,8,,2
923,9,34,2
1623,16,12,2
715,7,,2
1612,16,10,2
1215,12,28,2
2533,25,20,2
632,6,,2
1512,15,,2
1823,18,,2
2332,19,6,2
726,7,,2
235,2,41,2
1313,12,,2
2531,25,,2
821,8,62,1
811,8,64,1
2525,25,,1
1031,10,,1
1032,10,,1
1333,12,,1
2323,19,6,1
222,2,36,1
433,4,,1
1414,10,,1
1812,18,7,1
1311,12,23,1
714,7,,1
935,9,,1
2113,1,33,1
2013,20,,1
1711,17,12,1
